Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,149.01,951.86,208.17,33.03,15.87,15.87,57.34,8.62,1.44,8.18,0.58,17.30,140.20,1.11,3.11
Arih.Found.Hsg.,531381,,Realty,1450.00,1445.02,206.44,64.36,31.18,31.18,33.84,4.65,0.89,8.34,0.42,17.00,250.70,15.35,4.19
Aryaman Capital,538716,,Finance,321.00,384.47,74.59,27.89,37.39,37.39,16.77,4.97,0.08,22.15,0.36,38.69,62.22,2.75,2.73
Aryaman Fin.Serv,530245,,Finance,595.10,695.20,112.87,52.67,46.66,46.66,22.03,5.40,0.21,23.47,0.22,31.30,116.80,5.23,1.15
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,145.15,152.57,80.16,11.95,14.91,14.91,40.04,,,5.25,3.54,37.84,28.86,0.10,3.87
Avishkar Infra,508929,,Realty,70.25,157.38,2.40,1.87,77.92,77.92,46.56,10.91,1.09,21.07,0.15,150.22,15.61,2.20,0.00
Bio Green Papers,534535,,"Paper, Forest & Jute Products",171.45,1996.23,407.36,41.24,10.12,10.12,56.63,20.57,0.46,25.16,0.00,25.97,22.08,0.86,0.00
Commerl. Synbags,539986,COMSYN,Industrial Products,133.82,534.64,347.82,35.56,10.22,10.22,31.23,3.56,3.62,5.90,0.76,12.28,131.04,4.03,2.24
CSB Bank,542867,CSBBANK,Banks,389.45,6756.41,3597.14,1948.44,54.17,54.17,11.38,1.50,0.10,1.42,9.43,14.31,0.00,972.06,3.41
Espire Hospi,532016,,Leisure Services,531.30,792.84,119.55,22.48,18.80,18.80,95.87,18.23,0.67,6.59,2.54,35.33,49.42,0.61,1.27
Exhicon Events,543895,,Other Consumer Services,412.80,535.09,143.51,35.12,24.47,24.47,20.58,4.77,,24.62,0.00,26.63,65.77,2.99,4.64
Fabtech Techn.,544332,,Industrial Manufacturing,345.00,425.02,150.03,16.04,10.69,10.69,31.96,4.50,1.18,12.51,0.01,18.21,81.83,0.87,3.32
Federal-Mogul Go,505744,FMGOETZE,Auto Components,530.90,2953.40,1800.19,284.32,15.79,15.79,18.23,2.33,0.49,10.14,0.00,13.63,772.02,43.93,4.53
Fiem Industries,532768,FIEMIND,Auto Components,1888.80,4971.26,2422.61,322.19,13.30,13.30,24.59,4.79,1.12,15.30,0.02,21.00,492.25,19.87,4.32
Fluidomat,522017,,Industrial Manufacturing,1197.25,590.24,72.18,27.28,37.79,37.79,26.56,7.33,0.56,27.08,0.00,31.44,39.08,3.46,3.36
Foce India,,FOCE,Consumer Durables,1840.00,900.30,104.25,18.35,17.60,17.60,62.52,11.42,,11.08,0.38,20.11,36.19,0.39,0.00
GHV Infra,505504,,Construction,896.65,1292.52,184.88,24.93,13.48,13.48,75.37,30.36,,15.49,0.73,82.12,15.11,0.00,0.00
Harshdeep,544105,,Agricultural Food & other Products,84.00,135.19,56.27,14.81,26.32,26.32,13.94,2.85,,19.46,0.00,22.95,33.55,0.15,2.33
Indosolar,533257,WAAREEINDO,Electrical Equipment,181.98,757.10,323.91,95.05,29.34,29.34,13.82,18.74,0.26,28.03,1.24,420.74,-14.88,0.84,0.00
Jindal Photo,532624,JINDALPHOT,Finance,1033.10,1059.79,2.46,2.06,83.74,83.74,4.69,1.10,0.04,13.36,0.06,13.99,32.71,228.68,0.00
Krishana Phosch.,,KRISHANA,Fertilizers & Agrochemicals,509.25,3083.64,1358.24,183.96,13.54,13.54,35.63,8.03,0.80,9.20,0.98,25.29,425.26,9.93,3.92
Krishival Foods,544416,KRISHIVAL,Food Products,414.80,924.80,202.23,21.17,10.47,10.47,68.30,6.85,0.87,8.81,0.09,10.54,89.81,4.07,0.00
M B Agro Prod.,,MBAPL,Fertilizers & Agrochemicals,375.35,3289.08,1059.17,145.45,13.73,13.73,57.22,8.14,1.84,6.57,0.79,15.23,391.72,11.25,4.95
M.V.K. Agro,,MVKAGRO,Agricultural Food & other Products,137.20,212.52,149.73,18.00,12.02,12.02,22.78,2.36,,3.37,1.18,10.95,102.19,6.07,0.00
Nikita Papers,,NIKITA,"Paper, Forest & Jute Products",102.30,252.35,338.11,40.22,11.90,11.90,14.54,,,6.19,2.33,25.58,167.79,12.66,4.30
OCCL,544278,OCCLLTD,Chemicals & Petrochemicals,120.55,602.15,306.73,52.94,17.26,17.26,28.11,1.52,,8.02,0.11,10.81,104.12,2.07,4.33
Osiajee Texfab,540198,,Textiles & Apparels,248.55,134.22,7.09,5.01,70.66,70.66,26.84,8.97,,28.96,0.13,40.11,5.00,0.03,0.58
Oswal Pumps,544418,OSWALPUMPS,Industrial Products,625.35,7127.58,758.57,152.64,20.12,20.12,71.64,,,26.06,0.44,77.02,159.75,0.14,4.09
P & G Health Ltd,500126,PGHL,Pharmaceuticals & Biotechnology,5907.00,9805.25,1218.05,366.64,30.10,26.62,37.70,18.26,-1.59,22.76,0.01,33.46,313.89,-7.71,4.35
Prostarm Info,544410,PROSTARM,Electrical Equipment,131.28,772.91,255.99,36.05,14.08,14.08,32.27,,,13.81,0.50,32.28,90.96,1.36,3.21
Purple United,,PURPLEUTED,Textiles & Apparels,335.40,322.31,103.13,20.70,20.07,20.07,30.78,5.32,,11.62,0.68,26.89,91.92,0.03,2.09
Quality Power El,544367,QPOWER,Electrical Equipment,572.35,4432.51,336.65,65.34,19.41,19.41,66.03,10.44,,17.33,0.02,23.24,365.65,54.07,2.16
R M Drip & Sprin,,RMDRIP,Industrial Products,545.40,1362.41,130.34,35.71,27.40,27.40,56.93,17.05,1.06,21.79,0.32,39.70,85.14,0.66,3.24
Rainbow Foundat.,531694,,Realty,63.56,315.37,156.13,39.51,25.31,25.31,39.37,3.93,1.08,1.18,3.31,10.51,338.23,0.95,0.00
Ratnabhumi Dev.,540796,,Realty,212.48,291.10,214.20,21.57,10.07,10.07,50.98,7.12,0.69,2.09,2.91,15.02,135.82,1.34,0.00
RRPSemiconductor,504346,,Finance,1797.00,2448.23,31.59,11.33,35.87,35.87,289.39,144.87,1.61,43.08,0.71,196.29,28.94,0.36,0.00
Sirca Paints,543686,SIRCA,Consumer Durables,378.20,2072.87,374.00,67.44,18.03,18.03,42.22,5.93,2.86,12.25,0.00,14.92,220.26,5.16,3.86
Sobhagya Mercant,512014,,Commercial Services & Supplies,470.20,394.97,160.40,25.53,15.92,15.92,25.43,4.94,1.19,11.97,0.08,24.43,81.87,0.00,3.56
Sodhani Academy,544257,,Other Consumer Services,282.80,161.05,3.55,1.96,55.21,55.21,41.83,11.56,,37.02,0.00,37.58,0.95,2.99,3.76
Solarium Green,544354,,Construction,453.75,946.05,230.08,25.90,11.26,11.26,50.89,6.69,,11.93,0.48,22.98,198.62,1.01,1.51
Som Distilleries,507514,SDBL,Beverages,161.43,3152.59,1442.90,176.21,12.21,12.21,32.86,4.22,0.73,8.32,0.23,14.65,341.25,4.50,3.90
Synergy Green,541929,SGIL,Industrial Products,554.40,861.70,362.27,52.29,14.43,14.43,51.02,8.00,1.32,6.26,1.45,21.88,105.36,1.41,2.21
TD Power Systems,533553,TDPOWERSYS,Electrical Equipment,515.10,8045.02,1278.76,230.76,18.05,18.05,46.08,9.35,0.83,14.54,0.01,22.30,632.67,23.65,3.41
Tejas Cargo,,TEJASCARGO,Transport Services,169.10,404.03,501.15,96.73,19.30,19.30,21.13,2.33,,6.42,0.92,16.72,138.92,6.94,3.37
