Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
Prostarm Info,544410,PROSTARM,Electrical Equipment,134.05,789.70,255.99,36.05,14.08,14.08,32.97,,,13.81,0.50,32.28,90.96,1.36,4.90
Purple United,,PURPLEUTED,Textiles & Apparels,331.00,318.08,103.13,20.70,20.07,20.07,30.38,5.25,,11.62,0.68,26.89,91.92,0.03,3.37
Quality Power El,544367,QPOWER,Electrical Equipment,610.70,4734.47,336.65,65.34,19.41,19.41,70.53,11.14,,17.33,0.02,23.24,365.65,54.07,1.34
R M Drip & Sprin,,RMDRIP,Industrial Products,547.35,1367.28,130.34,35.71,27.40,27.40,57.14,17.11,1.07,21.79,0.32,39.70,85.14,0.66,3.97
Rainbow Foundat.,531694,,Realty,66.73,331.10,156.13,39.51,25.31,25.31,41.34,4.13,1.14,1.18,3.31,10.51,338.23,0.95,0.00
Ratnabhumi Dev.,540796,,Realty,223.10,305.65,214.20,21.57,10.07,10.07,53.53,7.48,0.73,2.09,2.91,15.02,135.82,1.34,0.00
RRPSemiconductor,504346,,Finance,1832.90,2497.14,31.59,11.33,35.87,35.87,295.17,147.76,1.64,43.08,0.71,196.29,28.94,0.36,0.00
Scoda Tubes,544411,SCODATUBES,Industrial Products,206.60,1238.62,399.86,58.79,14.70,14.70,67.68,,,6.44,3.19,33.60,163.18,2.63,1.53
Sirca Paints,543686,SIRCA,Consumer Durables,376.60,2068.48,374.00,67.44,18.03,18.03,42.13,5.90,2.86,12.25,0.00,14.92,220.26,5.16,4.27
Solarium Green,544354,,Construction,455.00,948.66,230.08,25.90,11.26,11.26,51.03,6.71,,11.93,0.48,22.98,198.62,1.01,1.24
Som Distilleries,507514,SDBL,Beverages,162.73,3179.55,1442.90,176.21,12.21,12.21,33.14,4.25,0.74,8.32,0.23,14.65,341.25,4.50,3.13
SRM Contractors,544158,SRM,Construction,480.25,1097.57,526.59,81.25,15.43,15.43,21.88,4.14,0.32,16.04,0.15,25.63,228.90,6.67,1.38
Synergy Green,541929,SGIL,Industrial Products,544.50,847.15,362.27,52.29,14.43,14.43,50.16,7.86,1.29,6.26,1.45,21.88,105.36,1.41,3.96
TD Power Systems,533553,TDPOWERSYS,Electrical Equipment,517.80,8095.83,1278.76,230.76,18.05,18.05,46.37,9.40,0.83,14.54,0.01,22.30,632.67,23.65,2.91
Yash Highvoltage,544310,,Electrical Equipment,364.00,1039.27,150.14,32.00,21.31,21.31,48.54,7.04,0.97,15.68,0.15,22.57,106.39,2.01,0.53
