Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
M.V.K. Agro,,MVKAGRO,Agricultural Food & other Products,142.65,220.97,149.73,18.00,12.02,12.02,23.68,2.46,,3.37,1.18,10.95,102.19,6.07,0.00
Meghna Infracon,538668,,Realty,1114.85,1210.94,39.88,11.34,28.44,28.44,131.05,55.14,,34.74,0.15,52.56,11.51,0.35,4.30
Monolithisch,,MONOLITH,,254.65,553.51,97.26,21.04,21.63,21.63,38.55,,0.34,34.47,0.21,53.30,30.00,0.00,0.00
OBSC Perfection,,OBSCP,Auto Components,297.40,727.22,142.79,25.39,17.78,17.78,43.39,6.99,,13.68,0.26,25.00,58.13,2.41,4.10
OCCL,544278,OCCLLTD,Chemicals & Petrochemicals,120.00,602.45,306.73,52.94,17.26,17.26,28.13,1.51,,8.02,0.11,10.81,104.12,2.07,4.76
Osiajee Texfab,540198,,Textiles & Apparels,250.75,135.40,7.09,5.01,70.66,70.66,27.08,9.05,,28.96,0.13,40.11,5.00,0.03,3.19
Oswal Pumps,544418,OSWALPUMPS,Industrial Products,632.00,7199.89,758.57,152.64,20.12,20.12,72.37,,,26.06,0.44,77.02,159.75,0.14,3.07
P & G Health Ltd,500126,PGHL,Pharmaceuticals & Biotechnology,5915.00,9811.99,1218.05,366.64,30.10,26.62,37.73,18.29,-1.59,22.76,0.01,33.46,313.89,-7.71,4.22
Patil Automation,,PATILAUTOM,,170.85,372.80,118.05,15.49,13.12,13.12,33.41,,,10.78,0.43,26.02,52.00,3.99,0.00
Purple United,,PURPLEUTED,Textiles & Apparels,331.00,318.08,103.13,20.70,20.07,20.07,30.38,5.25,,11.62,0.68,26.89,91.92,0.03,3.37
Quality Power El,544367,QPOWER,Electrical Equipment,629.50,4872.71,336.65,65.34,19.41,19.41,72.59,11.49,,17.33,0.02,23.24,365.65,54.07,1.44
R M Drip & Sprin,,RMDRIP,Industrial Products,547.15,1366.78,130.34,35.71,27.40,27.40,57.12,17.10,1.07,21.79,0.32,39.70,85.14,0.66,4.01
Rainbow Foundat.,531694,,Realty,70.06,347.62,156.13,39.51,25.31,25.31,43.40,4.33,1.19,1.18,3.31,10.51,338.23,0.95,0.00
Ratnabhumi Dev.,540796,,Realty,234.25,320.93,214.20,21.57,10.07,10.07,56.20,7.85,0.76,2.09,2.91,15.02,135.82,1.34,0.00
RRPSemiconductor,504346,,Finance,1869.55,2547.07,31.59,11.33,35.87,35.87,301.07,150.71,1.68,43.08,0.71,196.29,28.94,0.36,0.00
Sirca Paints,543686,SIRCA,Consumer Durables,379.50,2077.79,374.00,67.44,18.03,18.03,42.32,5.95,2.87,12.25,0.00,14.92,220.26,5.16,3.53
Sobhagya Mercant,512014,,Commercial Services & Supplies,471.20,395.81,160.40,25.53,15.92,15.92,25.49,4.95,1.19,11.97,0.08,24.43,81.87,0.00,3.35
Sodhani Academy,544257,,Other Consumer Services,287.00,163.45,3.55,1.96,55.21,55.21,42.45,11.73,,37.02,0.00,37.58,0.95,2.99,2.33
Solarium Green,544354,,Construction,460.70,960.54,230.08,25.90,11.26,11.26,51.67,6.79,,11.93,0.48,22.98,198.62,1.01,0.82
Som Distilleries,507514,SDBL,Beverages,162.09,3165.09,1442.90,176.21,12.21,12.21,32.99,4.23,0.73,8.32,0.23,14.65,341.25,4.50,3.51
South Ind.Bank,532218,SOUTHBANK,Banks,29.88,7817.55,9413.31,5871.13,62.37,62.37,6.00,0.77,0.09,1.08,11.07,13.77,0.00,1813.43,4.23
SRM Contractors,544158,SRM,Construction,480.75,1102.59,526.59,81.25,15.43,15.43,21.98,4.14,0.32,16.04,0.15,25.63,228.90,6.67,3.46
Steel Str. Wheel,513262,SSWL,Auto Components,265.37,4162.49,4429.00,486.81,10.99,10.99,19.83,2.70,0.36,6.35,0.54,14.53,592.99,13.44,3.85
TD Power Systems,533553,TDPOWERSYS,Electrical Equipment,512.75,8015.28,1278.76,230.76,18.05,18.05,45.91,9.31,0.83,14.54,0.01,22.30,632.67,23.65,3.85
Valiant Commun.,526775,,Telecom -  Equipment & Accessories,727.65,555.05,50.85,13.78,27.10,27.10,57.76,9.02,0.52,14.75,0.03,16.95,51.90,1.81,0.62
Yash Highvoltage,544310,,Electrical Equipment,382.95,1093.37,150.14,32.00,21.31,21.31,51.07,7.41,1.02,15.68,0.15,22.57,106.39,2.01,4.74
