Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Sales,Operating profit,OPM,OPM last year,Price to Earning,Price to book value,PEG Ratio,Return on assets,Debt to equity,Return on equity,Working capital,Other income,Down from 52w high
A B Infrabuild,544281,ABINFRA,Construction,154.45,985.07,208.17,33.03,15.87,15.87,59.34,8.94,1.49,8.18,0.58,17.30,140.20,1.11,1.62
Aesthetik,,AESTHETIK,Construction,138.50,238.50,57.88,7.71,13.32,13.32,45.17,5.39,,11.62,0.17,17.81,28.77,0.82,4.28
AGI Infra,539042,AGIIL,Realty,993.75,2437.82,324.87,92.54,28.49,28.49,36.57,8.23,1.05,5.86,0.47,25.66,144.14,12.58,2.33
Arkade,544261,ARKADE,Realty,195.10,3621.92,683.10,206.09,30.17,30.17,23.08,4.10,,17.19,0.13,26.00,955.74,11.98,4.79
Aryaman Capital,538716,,Finance,325.05,389.31,74.59,27.89,37.39,37.39,16.98,5.03,0.08,22.15,0.36,38.69,62.22,2.75,2.09
Aryaman Fin.Serv,530245,,Finance,630.35,736.38,112.87,52.67,46.66,46.66,23.33,5.72,0.23,23.47,0.22,31.30,116.80,5.23,3.02
ASM Technologies,526433,,IT - Software,2763.35,3253.09,288.81,47.20,16.34,16.34,128.84,19.70,0.75,9.62,0.52,16.47,149.13,8.55,3.59
Astonea Labs,544409,,Pharmaceuticals & Biotechnology,145.35,152.78,80.16,11.95,14.91,14.91,40.10,,,5.25,3.54,37.84,28.86,0.10,3.74
Avishkar Infra,508929,,Realty,70.25,157.38,2.40,1.87,77.92,77.92,46.56,10.91,1.09,21.07,0.15,150.22,15.61,2.20,0.00
Bio Green Papers,534535,,"Paper, Forest & Jute Products",180.00,2095.78,407.36,41.24,10.12,10.12,59.45,21.60,0.48,25.16,0.00,25.97,22.08,0.86,0.00
CLN Energy,544347,,Auto Components,504.95,532.89,219.18,23.91,10.91,10.91,41.25,5.64,,8.26,0.17,23.95,81.29,1.21,4.39
CSB Bank,542867,CSBBANK,Banks,395.40,6847.18,3597.14,1948.44,54.17,54.17,11.53,1.53,0.10,1.42,9.43,14.31,0.00,972.06,1.93
Eppeltone Ene.,,EEPL,,255.35,330.92,124.34,17.79,14.31,14.31,29.47,,,16.08,0.68,46.87,23.31,1.40,0.00
Espire Hospi,532016,,Leisure Services,584.35,872.00,119.55,22.48,18.80,18.80,105.44,20.05,0.74,6.59,2.54,35.33,49.42,0.61,0.00
Exhicon Events,543895,,Other Consumer Services,411.30,533.15,143.51,35.12,24.47,24.47,20.51,4.76,,24.62,0.00,26.63,65.77,2.99,4.99
Fabtech Techn.,544332,,Industrial Manufacturing,346.10,426.38,150.03,16.04,10.69,10.69,32.06,4.52,1.18,12.51,0.01,18.21,81.83,0.87,4.92
Federal-Mogul Go,505744,FMGOETZE,Auto Components,532.05,2957.78,1800.19,284.32,15.79,15.79,18.25,2.33,0.49,10.14,0.00,13.63,772.02,43.93,4.32
Fluidomat,522017,,Industrial Manufacturing,1178.10,580.80,72.18,27.28,37.79,37.79,26.14,7.22,0.56,27.08,0.00,31.44,39.08,3.46,4.99
Foce India,,FOCE,Consumer Durables,1840.00,900.30,104.25,18.35,17.60,17.60,62.52,11.42,,11.08,0.38,20.11,36.19,0.39,0.00
GHV Infra,505504,,Construction,932.80,1344.63,184.88,24.93,13.48,13.48,78.40,31.58,,15.49,0.73,82.12,15.11,0.00,0.00
Harshdeep,544105,,Agricultural Food & other Products,89.48,144.01,56.27,14.81,26.32,26.32,14.85,3.04,,19.46,0.00,22.95,33.55,0.15,2.15
HEC Infra Proj.,,HECPROJECT,,175.34,190.03,112.10,13.95,12.44,12.44,20.57,3.58,0.27,9.98,0.71,21.00,53.22,1.05,0.32
Iconik Sports,511260,,Finance,31.31,105.96,12.71,3.48,27.38,27.38,40.75,1.66,0.20,9.49,0.00,15.03,6.37,0.00,0.00
India Glycols,500201,INDIAGLYCO,Beverages,1966.60,6087.08,3768.26,510.94,13.56,13.56,26.36,2.70,2.17,3.92,0.84,10.72,279.64,60.95,0.78
Indosolar,533257,WAAREEINDO,Electrical Equipment,200.62,834.70,323.91,95.05,29.34,29.34,15.24,20.65,0.28,28.03,1.24,420.74,-14.88,0.84,0.00
Jindal Photo,532624,JINDALPHOT,Finance,1000.00,1025.83,2.46,2.06,83.74,83.74,4.54,1.06,0.03,13.36,0.06,13.99,32.71,228.68,3.20
Kolte Patil Dev.,532924,KOLTEPATIL,Realty,451.60,3443.84,1717.38,175.88,10.24,10.24,32.32,4.13,4.01,2.13,1.37,13.63,1233.68,51.47,4.99
Krishana Phosch.,,KRISHANA,Fertilizers & Agrochemicals,520.80,3153.58,1358.24,183.96,13.54,13.54,36.44,8.22,0.82,9.20,0.98,25.29,425.26,9.93,4.28
Lumax Auto Tech.,532796,LUMAXTECH,Auto Components,1128.10,7696.44,3636.67,464.76,12.78,12.78,43.29,8.23,1.72,7.85,0.97,20.62,626.58,51.03,2.60
M B Agro Prod.,,MBAPL,Fertilizers & Agrochemicals,427.10,3742.54,1059.17,145.45,13.73,13.73,65.11,9.27,2.09,6.57,0.79,15.23,391.72,11.25,2.49
